PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1769428236.963009,50,0,0,0,0
1769428236.965015,100,0,0,0,0
1769428236.966434,150,0,0,0,0
1769428236.967797,200,0,0,0,0
1769428236.9691489,250,0,0,0,0
1769428236.970507,300,0,0,0,0
1769428236.9718752,350,0,0,0,0
1769428236.973227,400,0,0,0,0
1769428236.9773178,450,0,0,0,0
1769428237.027759,500,0,0,0,0
1769428237.077312,550,0,0,0,0
1769428237.126689,600,0,0,0,0
1769428237.17709,650,0,0,0,0
1769428237.227762,700,0,0,0,0
1769428237.277729,750,0,0,0,0
1769428237.328575,800,0,0,0,0
1769428237.379284,850,0,0,0,0
1769428237.428045,900,0,0,0,0
1769428237.47902,950,0,0,0,0
1769428237.529,1000,0,0,0,0
1769428237.579198,1050,0,0,0,0
1769428237.629596,1100,0,0,0,0
1769428237.6796422,1150,0,0,0,0
1769428237.728769,1200,0,0,0,0
1769428237.779099,1250,0,0,0,0
1769428237.829438,1300,0,0,0,0
1769428237.879711,1350,0,0,0,0
1769428237.929782,1400,0,0,0,0
1769428237.980373,1451,0,0,0,0
1769428238.0315871,1501,0,0,0,0
1769428238.081387,1551,0,0,0,0
1769428238.131356,1601,0,0,0,0
1769428238.181493,1651,0,0,0,0
1769428238.231772,1701,0,0,0,0
1769428238.2810712,1751,0,0,0,0
1769428238.331867,1801,0,0,0,0
1769428238.381814,1851,0,0,0,0
1769428238.432719,1901,0,0,0,0
1769428238.483325,1951,0,0,0,0
1769428238.533055,2001,0,0,0,0
1769428238.581624,2051,0,0,0,0
1769428238.6331441,2101,0,0,0,0
1769428238.683615,2151,0,0,0,0
1769428238.733428,2201,0,0,0,0
1769428238.78414,2251,0,0,0,0
1769428238.833962,2301,0,0,0,0
1769428238.88274,2351,0,0,0,0
1769428238.933502,2401,0,0,0,0
1769428238.983506,2451,0,0,0,0
1769428239.034216,2501,0,0,0,0
1769428239.0837939,2551,0,0,0,0
1769428239.1350951,2601,0,0,0,0
1769428239.1846662,2651,0,0,0,0
1769428239.234315,2701,0,0,0,0
1769428239.284211,2751,0,0,0,0
1769428239.335105,2801,0,0,0,0
1769428239.38521,2851,0,0,0,0
1769428239.435554,2902,0,0,0,0
1769428239.4856021,2952,0,0,0,0
1769428239.535676,3002,0,0,0,0
1769428239.587039,3052,0,0,0,0
1769428239.637035,3102,0,0,0,0
1769428239.687288,3152,0,0,0,0
1769428239.736115,3202,0,0,0,0
1769428239.786391,3252,0,0,0,0
1769428239.8375711,3302,0,0,0,0
1769428239.886722,3352,0,0,0,0
1769428239.93835,3402,0,0,0,0
1769428239.9876978,3452,0,0,0,0
1769428240.037406,3502,0,0,0,0
1769428240.0871701,3552,0,0,0,0
1769428240.142365,3602,0,0,0,0
1769428240.18764,3652,0,0,0,0
1769428240.2388952,3702,0,0,0,0
1769428240.288119,3752,0,0,0,0
1769428240.337306,3802,0,0,0,0
1769428240.388847,3852,0,0,0,0
1769428240.4390788,3902,0,0,0,0
1769428240.488262,3952,0,0,0,0
1769428240.5395682,4002,0,0,0,0
1769428240.589607,4052,0,0,0,0
1769428240.638665,4102,0,0,0,0
1769428240.689122,4152,0,0,0,0
1769428240.738852,4202,0,0,0,0
1769428240.789533,4252,0,0,0,0
1769428240.8404381,4302,0,0,0,0
1769428240.89011,4352,0,0,0,0
1769428240.939244,4402,0,0,0,0
1769428240.989846,4452,0,0,0,0
1769428241.0408719,4502,0,0,0,0
1769428241.0904388,4552,0,0,0,0
1769428241.141005,4602,0,0,0,0
1769428241.1905239,4652,0,0,0,0
1769428241.2401578,4702,0,0,0,0
1769428241.291421,4752,0,0,0,0
1769428241.3411882,4802,0,0,0,0
1769428241.392262,4852,0,0,0,0
1769428241.441516,4902,0,0,0,0
1769428241.490964,4952,0,0,0,0
1769428241.541775,5002,0,0,0,0
1769428241.591435,5052,0,0,0,0
1769428241.641868,5102,0,0,0,0
1769428241.692721,5152,0,0,0,0
1769428241.743268,5202,0,0,0,0
1769428241.791869,5252,0,0,0,0
1769428241.8425112,5302,0,0,0,0
1769428241.892705,5352,0,0,0,0
1769428241.9438121,5402,0,0,0,0
1769428241.993726,5452,0,0,0,0
1769428242.0433412,5502,0,0,0,0
1769428242.093586,5552,0,0,0,0
1769428242.14316,5602,0,0,0,0
1769428242.1942668,5652,0,0,0,0
1769428242.244127,5702,0,0,0,0
1769428242.294102,5752,0,0,0,0
1769428242.344019,5803,0,0,0,0
1769428242.395303,5853,0,0,0,0
1769428242.444769,5903,0,0,0,0
1769428242.495979,5953,0,0,0,0
1769428242.545915,6003,0,0,0,0
1769428242.5958872,6053,0,0,0,0
1769428242.6460319,6103,0,0,0,0
1769428242.695201,6153,0,0,0,0
1769428242.746036,6203,0,0,0,0
1769428242.795842,6253,0,0,0,0
1769428242.8471072,6303,0,0,0,0
1769428242.896807,6353,0,0,0,0
1769428242.946676,6403,0,0,0,0
1769428242.9961832,6453,0,0,0,0
1769428243.0467699,6503,0,0,0,0
1769428243.0976079,6553,0,0,0,0
1769428243.1473122,6603,0,0,0,0
1769428243.1982899,6653,0,0,0,0
1769428243.2468748,6703,0,0,0,0
1769428243.29824,6753,0,0,0,0
1769428243.347384,6803,0,0,0,0
1769428243.398514,6853,0,0,0,0
1769428243.448104,6903,0,0,0,0
1769428243.4994109,6953,0,0,0,0
1769428243.547628,7003,0,0,0,0
1769428243.599036,7053,0,0,0,0
1769428243.648706,7103,0,0,0,0
1769428243.6987698,7153,0,0,0,0
1769428243.749564,7203,0,0,0,0
1769428243.799963,7254,0,0,0,0
1769428243.849529,7304,0,0,0,0
1769428243.900838,7354,0,0,0,0
1769428243.9507961,7404,0,0,0,0
1769428244.001499,7454,0,0,0,0
1769428244.051554,7504,0,0,0,0
1769428244.1000042,7554,0,0,0,0
1769428244.150521,7604,0,0,0,0
1769428244.2014349,7654,0,0,0,0
1769428244.2510579,7704,0,0,0,0
1769428244.302109,7754,0,0,0,0
1769428244.352072,7804,0,0,0,0
1769428244.402091,7854,0,0,0,0
1769428244.452227,7904,0,0,0,0
1769428244.502214,7954,0,0,0,0
1769428244.552227,8004,0,0,0,0
1769428244.60263,8054,0,0,0,0
1769428244.653226,8104,0,0,0,0
1769428244.7019699,8154,0,0,0,0
1769428244.7530391,8204,0,0,0,0
1769428244.802859,8254,0,0,0,0
1769428244.85274,8304,0,0,0,0
1769428244.903927,8354,0,0,0,0
1769428244.953752,8404,0,0,0,0
1769428245.003513,8454,0,0,0,0
1769428245.053527,8504,0,0,0,0
1769428245.103411,8554,0,0,0,0
1769428245.154479,8604,0,0,0,0
1769428245.20441,8654,0,0,0,0
1769428245.254142,8704,0,0,0,0
1769428245.304078,8754,0,0,0,0
1769428245.353793,8804,0,0,0,0
1769428245.404803,8854,0,0,0,0
1769428245.454586,8904,0,0,0,0
1769428245.505718,8954,0,0,0,0
1769428245.554394,9004,0,0,0,0
1769428245.604482,9054,0,0,0,0
1769428245.655457,9104,0,0,0,0
1769428245.705825,9154,0,0,0,0
1769428245.7553122,9204,0,0,0,0
1769428245.8064032,9254,0,0,0,0
1769428245.856044,9304,0,0,0,0
1769428245.905898,9354,0,0,0,0
1769428245.9557261,9404,0,0,0,0
1769428246.006218,9454,0,0,0,0
1769428246.0560682,9504,0,0,0,0
1769428246.1070778,9554,0,0,0,0
1769428246.155763,9604,0,0,0,0
1769428246.207083,9654,0,0,0,0
1769428246.256682,9704,0,0,0,0
1769428246.3076339,9754,0,0,0,0
1769428246.356809,9804,-20,0,0,1
1769428246.4077282,9854,-99,0,0,1
1769428246.4577248,9904,-176,0,0,1
