Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.004;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
0.509;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
1.014;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
1.519;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
2.024;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
2.529;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
3.046;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
3.549;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
4.057;0.0;0.0;0.0;35.8974358974359;35.948717948717956;36.0;36.0;1;1
4.567;0.0;0.0;0.0;35.8974358974359;35.948717948717956;36.0;36.0;1;1
5.07;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
5.575;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
6.08;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
6.585;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
7.092;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
7.595;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
8.1;0.0;0.0;0.0;35.948717948717956;36.0;36.0;36.0;1;1
8.605;0.0;0.0;0.0;35.948717948717956;36.0;36.0;36.0;1;1
9.11;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
9.615;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
10.12;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
10.623;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
11.126;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
11.631;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
12.132;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
12.638;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
13.149;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
13.661;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
14.168;0.0;0.0;0.0;35.8974358974359;35.948717948717956;36.0;36.0;1;1
14.672;0.0;0.0;0.0;35.8974358974359;35.948717948717956;36.0;36.0;1;1
15.174;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
15.678;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
16.183;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
16.688;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
17.193;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
17.698;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
18.203;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
18.708;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
19.213;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
19.714;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
20.219;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
20.724;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
21.229;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
21.736;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
22.253;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
22.758;0.0;0.0;0.0;35.948717948717956;35.948717948717956;36.0;36.0;1;1
