Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.003;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
0.506;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
1.011;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
1.513;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
2.017;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
2.522;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
3.027;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
3.53;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
4.035;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
4.543;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
5.046;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
5.552;0.0;0.0;0.0;38.62;25.0;40.0;25.0;0;1
