run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
,ETD_QA_PoP_SingleCouchOrientation_20260310_152831.csv,,,,,,false,"All three axes constant at 0 and Temp_A = Temp_B = Set_A = Set_B = 25.0 with Stable_A = Stable_B = 1 for the whole run (169 rows, 17.4 s); these are exactly the values the terminal writes when no controller is connected.",,Not listed in the protocol; recorded before run 1 (start 16:01).
,ETD_QA_PoP_SingleCouchOrientation_20260310_155154.csv,,,,,,false,,,Not listed in the protocol; recorded before run 1 (start 16:01).
,ETD_QA_PoP_SingleCouchOrientation_20260310_155504.csv,,,,,,false,,,Not listed in the protocol; recorded before run 1 (start 16:01).
,ETD_QA_PoP_SingleCouchOrientation_20260310_160304.csv,,,,,,false,,,"Not listed in the protocol; started 16:03:04, inside the 16:01-16:08 window of run 1, whose protocol CSV is 160448."
1,ETD_QA_PoP_SingleCouchOrientation_20260310_160448.csv,TrackingResult_2026-03-10_16-06-17.json,All axes,PhantomWithBuffer,OFF,"H, V, R",true,,ETD_QA_PoP_SingleCouchRotation.json,
2,ETD_QA_PoP_SingleCouchOrientation_20260310_160950.csv,TrackingResult_2026-03-10_16-11-17.json,All axes,PhantomWithBuffer,OFF,"H, V, R",true,,ETD_QA_PoP_SingleCouchRotation.json,
3,ETD_QA_PoP_SingleCouchOrientation_20260310_161302.csv,TrackingResult_2026-03-10_16-14-16.json,All axes,PhantomWithBuffer,OFF,"H, V, R",true,,ETD_QA_PoP_SingleCouchRotation.json,
4,ETD_QA_PoP_SingleCouchOrientation_20260310_161538.csv,TrackingResult_2026-03-10_16-17-24.json,Horizontal,PhantomWithBuffer,OFF,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
5,ETD_QA_PoP_SingleCouchOrientation_20260310_161859.csv,TrackingResult_2026-03-10_16-20-54.json,Horizontal,PhantomWithBuffer,OFF,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
6,ETD_QA_PoP_SingleCouchOrientation_20260310_162130.csv,TrackingResult_2026-03-10_16-23-26.json,Horizontal,PhantomWithBuffer,OFF,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
7,ETD_QA_PoP_SingleCouchOrientation_20260310_162451.csv,TrackingResult_2026-03-10_16-26-47.json,Vertical,PhantomWithBuffer,OFF,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
8,ETD_QA_PoP_SingleCouchOrientation_20260310_162728.csv,TrackingResult_2026-03-10_16-29-22.json,Vertical,PhantomWithBuffer,OFF,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
