Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.028;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.129;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.236;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.346;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.457;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.558;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.671;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.777;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.891;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.002;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.115;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.221;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.324;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.426;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.538;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.664;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.766;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.884;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.987;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.098;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.204;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.316;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.423;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.538;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.641;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.751;0.015;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.861;0.44875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
2.97;1.215;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.088;1.72;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.197;2.48625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.298;2.99;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.412;3.245;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.538;4.00875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.64;4.5175;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.746;4.9725;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.857;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.981;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.086;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.195;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.296;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.446;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.56;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.668;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.784;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.892;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.0;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.117;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.23;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.339;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.441;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.553;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.684;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.791;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
5.92;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.025;4.98625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.128;4.5575;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.234;4.05375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.336;3.545;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.452;3.03625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.553;2.27375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.656;2.02;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.774;1.26375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.876;0.75625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
6.977;0.2475;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.077;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.186;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.287;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.392;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.501;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.602;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.702;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.803;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
7.905;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.023;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.141;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.253;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.359;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.475;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.578;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.691;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.798;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
8.907;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.021;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.127;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.235;0.0675;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.343;0.55875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.458;1.065;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.567;1.575;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.673;2.085;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.782;2.59125;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
9.897;3.35375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.008;3.8575;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.114;4.36625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.225;4.875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.326;5.62875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.444;6.13625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.555;6.64375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.661;7.14625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.768;7.655;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.875;8.16375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
10.985;8.67375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
11.096;9.1825;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
11.203;9.925;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
11.316;10.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
