Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.004;10.0;0.0;0.0;30.495726495726498;31.726495726495727;36.0;36.0;0;0
0.107;10.0;0.0;0.0;30.495726495726498;31.726495726495727;36.0;36.0;0;0
0.208;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.308;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.41;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.514;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.624;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.734;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.836;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
0.936;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
1.045;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
1.161;10.0;0.0;0.0;30.555555555555557;31.726495726495727;36.0;36.0;0;0
1.271;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.377;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.492;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.609;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.728;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.835;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
1.943;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
2.043;10.0;0.0;0.0;30.606837606837612;31.837606837606838;36.0;36.0;0;0
2.168;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.272;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.389;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.497;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.61;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.713;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.825;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
2.927;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
3.041;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
3.151;10.0;0.0;0.0;30.65811965811966;31.837606837606838;36.0;36.0;0;0
3.252;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.372;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.48;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.593;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.695;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.804;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
3.931;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
4.044;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
4.157;10.0;0.0;0.0;30.70940170940171;31.888888888888893;36.0;36.0;0;0
4.276;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.38;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.483;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.607;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.723;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.856;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
4.962;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
5.063;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
5.173;10.0;0.0;0.0;30.70940170940171;31.94017094017094;36.0;36.0;0;0
5.284;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.386;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.493;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.596;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.724;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.829;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
5.942;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
6.052;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
6.163;10.0;0.0;0.0;30.820512820512825;31.99145299145299;36.0;36.0;0;0
6.266;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.382;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.482;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.599;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.707;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.816;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
6.919;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
7.022;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
7.124;10.0;0.0;0.0;30.871794871794872;32.05128205128205;36.0;36.0;0;0
7.241;10.0;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.358;10.0;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.476;9.79625;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.581;9.28375;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.694;9.02875;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.802;8.26625;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
7.918;8.0125;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
8.019;6.99375;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
8.135;6.7375;0.0;0.0;30.871794871794872;32.10256410256411;36.0;36.0;0;0
8.245;5.97125;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.351;5.45625;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.47;4.69;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.573;4.43375;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.674;3.665;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.796;3.40875;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
8.899;2.64375;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
9.006;2.135;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
9.12;1.6275;0.0;0.0;30.923076923076923;32.15384615384615;36.0;36.0;0;0
9.223;1.11875;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.331;0.3625;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.442;0.11125;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.551;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.662;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.776;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.881;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
9.997;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
10.098;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
10.198;0.0;0.0;0.0;30.982905982905987;32.205128205128204;36.0;36.0;0;0
10.3;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.403;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.509;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.619;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.73;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.831;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
10.935;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
11.046;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
11.155;0.0;0.0;0.0;31.034188034188038;32.26495726495727;36.0;36.0;0;0
11.263;0.0;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.37;0.0;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.478;0.0;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.579;0.0;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.685;0.0975;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.796;0.6025;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
11.924;1.1125;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
12.036;1.62375;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
12.148;2.13375;0.0;0.0;31.085470085470085;32.31623931623932;36.0;36.0;0;0
12.258;2.89875;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.368;3.415;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.478;3.93125;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.588;4.4425;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.7;4.95875;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.81;5.73125;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
12.922;6.24125;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
13.029;6.75625;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
13.139;7.27;0.0;0.0;31.13675213675214;32.31623931623932;36.0;36.0;0;0
13.25;7.7775;0.0;0.0;31.1965811965812;32.41880341880342;36.0;36.0;0;0
13.362;8.5425;0.0;0.0;31.1965811965812;32.41880341880342;36.0;36.0;0;0
