Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.003;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
0.104;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
0.207;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.308;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.409;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.511;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.62;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.731;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.833;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
0.935;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.039;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.148;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.248;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.355;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.465;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.576;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.688;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.8;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
1.91;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.013;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.133;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.246;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.347;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.456;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.561;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.668;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.78;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
2.892;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.008;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.114;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.225;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.336;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.448;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.549;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.654;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.766;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.881;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
3.988;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.1;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.212;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.322;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.423;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.526;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.637;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.749;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.862;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
4.97;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.084;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.195;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.305;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.416;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.526;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.635;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.744;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.858;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
5.959;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.065;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.177;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.286;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.397;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.504;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.625;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.726;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.826;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
6.946;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
7.057;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
7.171;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
7.274;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
7.375;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
7.487;0.0;0.0;0.0;31.77777777777778;31.24786324786325;32.0;32.0;0;0
