Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.003;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.119;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.22;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.323;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.424;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.529;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.634;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.736;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.838;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
0.94;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.042;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.144;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.245;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.35;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.456;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.561;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.665;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.767;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.868;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
1.973;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.084;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.204;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.309;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.414;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.516;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.626;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.733;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.835;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
2.939;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.041;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.145;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.259;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.362;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.464;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.569;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.671;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.773;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.878;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
3.979;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.088;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.19;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.293;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.394;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.496;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.605;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.714;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.817;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
4.922;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.024;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.134;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.241;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.342;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.445;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.552;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.66;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.764;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.865;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
5.969;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.07;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.181;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.283;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.386;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.489;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.601;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.706;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.807;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
6.908;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.008;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.116;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.249;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.353;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.457;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.561;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.665;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.77;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.875;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
7.979;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.085;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.188;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.292;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.394;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.495;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.599;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.701;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.801;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
8.903;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.003;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.107;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.208;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.313;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.414;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.519;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.624;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.724;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.827;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
9.929;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.031;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.132;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.234;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.336;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.437;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.54;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.645;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.745;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.846;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
10.951;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.052;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.156;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.258;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.361;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.466;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.571;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.675;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.775;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.88;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
11.98;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.085;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.196;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.298;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.403;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.508;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.62;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.73;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.831;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
12.932;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.035;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.138;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.241;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.341;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.442;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.547;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.647;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.751;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.856;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
13.958;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.063;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.165;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.268;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.368;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.473;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.582;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.684;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.787;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.892;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
14.995;0.0;0.0;0.0;25.0;25.0;25.0;25.0;1;1
