PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1764862711.649826,50,0,0,0,0
1764862711.6999512,100,0,0,0,0
1764862711.750303,150,0,0,0,0
1764862711.8005838,200,0,0,0,0
1764862711.850999,250,0,0,0,0
1764862711.9002051,300,0,0,0,0
1764862711.95052,350,0,0,0,0
1764862712.000889,400,0,0,0,0
1764862712.051096,450,0,0,0,0
1764862712.101412,500,0,0,0,0
1764862712.1518168,550,0,0,0,0
1764862712.200882,600,0,0,0,0
1764862712.25171,650,0,0,0,0
1764862712.301696,700,0,0,0,0
1764862712.352036,750,0,0,0,0
1764862712.4021592,800,0,0,0,0
1764862712.4526021,850,0,0,0,0
1764862712.50193,900,0,0,0,0
1764862712.552264,950,0,0,0,0
1764862712.60263,1000,0,0,0,0
1764862712.652812,1050,0,0,0,0
1764862712.703213,1100,0,0,0,0
1764862712.7535481,1150,0,0,0,0
1764862712.80287,1200,0,0,0,0
1764862712.853108,1250,0,0,0,0
1764862712.903405,1300,0,0,0,0
1764862712.9536939,1350,0,0,0,0
1764862713.004056,1400,0,0,0,0
1764862713.05438,1451,0,0,0,0
1764862713.1047602,1501,0,0,0,0
1764862713.1549609,1551,0,0,0,0
1764862713.205309,1601,0,0,0,0
1764862713.2556741,1651,0,0,0,0
1764862713.306031,1701,0,0,0,0
1764862713.355201,1751,0,0,0,0
1764862713.405555,1801,0,0,0,0
1764862713.455949,1851,0,0,0,0
1764862713.506083,1901,0,0,0,0
1764862713.556381,1951,0,0,0,0
1764862713.606845,2001,0,0,0,0
1764862713.656008,2051,0,0,0,0
1764862713.7064059,2101,0,0,0,0
1764862713.756746,2151,0,0,0,0
1764862713.8070898,2201,0,0,0,0
1764862713.857313,2251,0,0,0,0
1764862713.9076622,2301,0,0,0,0
1764862713.956992,2351,0,0,0,0
1764862714.0071738,2401,0,0,0,0
1764862714.0575628,2451,0,0,0,0
1764862714.107914,2501,0,0,0,0
1764862714.1582668,2551,0,0,0,0
1764862714.208447,2601,0,0,0,0
1764862714.257804,2651,0,0,0,0
1764862714.308198,2701,0,0,0,0
1764862714.3583481,2751,0,0,0,0
1764862714.408725,2801,0,0,0,0
1764862714.459063,2851,0,0,0,0
1764862714.509395,2902,0,0,0,0
1764862714.559626,2952,0,0,0,0
1764862714.6099598,3002,0,0,0,0
1764862714.660327,3052,0,0,0,0
1764862714.710722,3102,0,0,0,0
1764862714.7608829,3152,0,0,0,0
1764862714.810206,3202,0,0,0,0
1764862714.860579,3252,0,0,0,0
1764862714.910954,3302,0,0,0,0
1764862714.961173,3352,0,0,0,0
1764862715.0115168,3402,0,0,0,0
1764862715.0617568,3452,0,0,0,0
1764862715.111184,3502,0,0,0,0
1764862715.1613839,3552,0,0,0,0
1764862715.211749,3602,0,0,0,0
1764862715.262086,3652,0,0,0,0
1764862715.3124769,3702,0,0,0,0
1764862715.362632,3752,0,0,0,0
1764862715.4119658,3802,0,0,0,0
1764862715.462343,3852,0,0,0,0
1764862715.512507,3902,0,0,0,0
1764862715.562866,3952,0,0,0,0
1764862715.613239,4002,0,0,0,0
1764862715.663414,4052,0,0,0,0
1764862715.712773,4102,0,0,0,0
1764862715.7631512,4152,0,0,0,0
1764862715.813426,4202,0,0,0,0
1764862715.863698,4252,0,0,0,0
1764862715.914054,4302,0,0,0,0
1764862715.9633942,4352,0,0,0,0
1764862716.013737,4402,0,0,0,0
1764862716.0639539,4452,0,0,0,0
1764862716.1142862,4502,0,0,0,0
1764862716.164684,4552,0,0,0,0
1764862716.214887,4602,0,0,2,0
1764862716.264229,4652,0,0,3,0
1764862716.314611,4702,0,0,5,0
1764862716.3647842,4752,0,0,7,0
1764862716.4151711,4802,0,0,8,0
1764862716.4655502,4852,0,0,10,0
1764862716.5157068,4902,0,0,12,0
1764862716.56515,4952,0,0,13,0
1764862716.6154702,5002,0,0,15,0
1764862716.665822,5052,0,0,17,0
1764862716.716023,5102,0,0,18,0
1764862716.7663832,5152,0,0,20,0
1764862716.816565,5202,0,0,22,0
1764862716.865897,5252,0,0,23,0
1764862716.916275,5302,0,0,25,0
1764862716.96662,5352,0,0,26,0
