PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1769429337.881699,50,0,0,0,0
1769429337.883348,100,0,0,0,0
1769429337.884783,150,0,0,0,0
1769429337.8861818,200,0,0,0,0
1769429337.887585,250,0,0,0,0
1769429337.8889759,300,0,0,0,0
1769429337.890359,350,0,0,0,0
1769429337.891783,400,0,0,0,0
1769429337.898346,450,0,0,0,0
1769429337.947863,500,0,0,0,0
1769429337.9977431,550,0,0,0,0
1769429338.048554,600,0,0,0,0
1769429338.098502,650,0,0,0,0
1769429338.1486661,700,0,0,0,0
1769429338.198547,750,0,0,0,0
1769429338.2486231,800,0,0,0,0
1769429338.299652,850,0,0,0,0
1769429338.348253,900,0,0,0,0
1769429338.398271,950,0,0,0,0
1769429338.449409,1000,0,0,0,0
1769429338.5003479,1050,0,0,0,0
1769429338.5497,1100,0,0,0,0
1769429338.600396,1150,0,0,0,0
1769429338.649249,1200,0,0,0,0
1769429338.700326,1250,0,0,0,0
1769429338.7502668,1300,0,0,0,0
1769429338.800268,1350,0,0,0,0
1769429338.8507571,1400,0,0,0,0
1769429338.9012659,1451,0,0,0,0
1769429338.95157,1501,0,0,0,0
1769429339.0012841,1551,0,0,0,0
1769429339.052219,1601,0,0,0,0
1769429339.1019258,1651,0,0,0,0
1769429339.153025,1701,0,0,0,0
1769429339.201865,1751,0,0,0,0
1769429339.251811,1801,0,0,0,0
1769429339.303116,1851,0,0,0,0
1769429339.353208,1901,0,0,0,0
1769429339.402997,1951,0,0,0,0
1769429339.453033,2001,0,0,0,0
1769429339.5030458,2051,0,0,0,0
1769429339.5526311,2101,0,0,0,0
1769429339.6027572,2151,0,0,0,0
1769429339.653122,2201,0,0,0,0
1769429339.704027,2251,0,0,0,0
1769429339.753951,2301,0,0,0,0
1769429339.804169,2351,0,0,0,0
1769429339.853744,2401,0,0,0,0
1769429339.904212,2451,0,0,0,0
1769429339.955219,2501,0,0,0,0
1769429340.0044239,2551,0,0,0,0
1769429340.05541,2601,0,0,0,0
1769429340.104199,2651,0,0,0,0
1769429340.155461,2701,0,0,0,0
1769429340.2053728,2751,0,0,0,0
1769429340.255279,2801,0,0,0,0
1769429340.305148,2851,0,0,0,0
1769429340.356705,2902,0,0,0,0
1769429340.4069881,2952,0,0,0,0
1769429340.45696,3002,0,0,0,0
1769429340.50686,3052,0,0,0,0
1769429340.5569339,3102,0,0,0,0
1769429340.607925,3152,0,0,0,0
1769429340.6572459,3202,0,0,0,0
1769429340.7072341,3252,0,0,0,0
1769429340.757696,3302,0,0,0,0
1769429340.807486,3352,0,0,0,0
1769429340.858453,3402,0,0,0,0
1769429340.908489,3452,0,0,0,0
1769429340.958556,3502,0,0,0,0
1769429341.007767,3552,0,0,0,0
1769429341.058109,3602,0,0,0,0
1769429341.11064,3652,0,0,0,0
1769429341.1587698,3702,0,0,0,0
1769429341.209871,3752,0,0,0,0
1769429341.258844,3802,0,0,0,0
1769429341.309012,3852,0,0,0,0
1769429341.358707,3902,0,0,0,0
1769429341.409385,3952,0,0,0,0
1769429341.459696,4002,0,0,0,0
1769429341.510384,4052,0,0,0,0
1769429341.559066,4102,0,0,0,0
1769429341.610262,4152,0,0,0,0
1769429341.660241,4202,0,0,0,0
1769429341.709729,4252,0,0,0,0
1769429341.760755,4302,0,0,0,0
1769429341.809325,4352,0,0,0,0
1769429341.8604538,4402,0,0,0,0
1769429341.910142,4452,0,0,0,0
1769429341.961013,4502,0,0,0,0
1769429342.010817,4552,0,0,0,0
1769429342.061829,4602,0,0,0,0
1769429342.1104782,4652,0,0,0,0
1769429342.1615229,4702,0,0,0,0
1769429342.21213,4752,0,0,0,0
1769429342.262501,4802,0,0,0,0
1769429342.312242,4852,0,0,0,0
1769429342.36314,4902,0,0,0,0
1769429342.411406,4952,0,0,0,0
1769429342.462484,5002,0,0,0,0
1769429342.512449,5052,0,0,0,0
1769429342.562249,5102,0,0,0,0
1769429342.613149,5152,0,0,0,0
1769429342.663604,5202,0,0,0,0
1769429342.71295,5252,0,0,0,0
