PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1764862855.122292,50,0,0,0,0
1764862855.172522,100,0,0,0,0
1764862855.2227032,150,0,0,0,0
1764862855.273025,200,0,0,0,0
1764862855.323404,250,0,0,0,0
1764862855.372729,300,0,0,0,0
1764862855.4230652,350,0,0,0,0
1764862855.473423,400,0,0,0,0
1764862855.5236201,450,0,0,0,0
1764862855.573968,500,0,0,0,0
1764862855.6243641,550,0,0,0,0
1764862855.6734889,600,0,0,0,0
1764862855.723833,650,0,0,0,0
1764862855.7742348,700,0,0,0,0
1764862855.824511,750,0,0,0,0
1764862855.874605,800,0,0,0,0
1764862855.925079,850,0,0,0,0
1764862855.974417,900,0,0,0,0
1764862856.024789,950,0,0,0,0
1764862856.07498,1000,0,0,0,0
1764862856.125338,1050,0,0,0,0
1764862856.17567,1100,0,0,0,0
1764862856.226048,1150,0,0,0,0
1764862856.2752042,1200,0,0,0,0
1764862856.3255968,1250,0,0,0,0
1764862856.3759239,1300,0,0,0,0
1764862856.426254,1350,0,0,0,0
1764862856.476452,1400,0,0,0,0
1764862856.526727,1451,0,0,0,0
1764862856.577229,1501,256,0,0,1
1764862856.627529,1551,609,0,0,1
1764862856.677739,1601,963,0,0,1
1764862856.728097,1651,1317,0,0,1
1764862856.778462,1701,1671,0,0,1
1764862856.827609,1751,2017,0,0,1
1764862856.877983,1801,2371,0,0,1
1764862856.928352,1851,2725,0,0,1
1764862856.9787211,1901,3079,0,0,1
1764862857.029046,1951,3433,0,0,1
1764862857.07923,2001,3786,0,0,1
1764862857.128601,2051,4133,0,0,1
1764862857.178932,2101,4487,0,0,1
1764862857.229284,2151,4841,0,0,1
1764862857.279466,2201,5194,0,0,1
1764862857.329825,2251,5548,0,0,1
1764862857.380197,2301,5902,0,0,1
1764862857.4295092,2351,6249,0,0,1
1764862857.479701,2401,6602,0,0,1
1764862857.530041,2451,6956,0,0,1
1764862857.5802839,2501,7310,0,0,1
1764862857.630689,2551,7664,0,0,1
1764862857.6811972,2601,8018,0,0,1
1764862857.730301,2651,8364,0,0,1
1764862857.780677,2701,8718,0,0,1
1764862857.8310258,2751,9072,0,0,1
1764862857.8812459,2801,9426,0,0,1
1764862857.9316108,2851,9779,0,0,1
1764862857.981785,2902,10133,0,0,1
1764862858.032191,2952,10487,0,0,1
1764862858.082506,3002,10841,0,0,1
1764862858.136411,3052,11195,0,0,1
1764862858.183249,3102,11549,0,0,1
1764862858.233446,3152,11902,0,0,1
1764862858.2826781,3202,12249,0,0,1
1764862858.33319,3252,12603,0,0,1
1764862858.383318,3302,12956,0,0,1
1764862858.4336908,3352,13310,0,0,1
1764862858.484035,3402,13664,0,0,1
1764862858.5342689,3452,14018,0,0,1
1764862858.583507,3502,14364,0,0,1
1764862858.634102,3552,14718,0,0,1
1764862858.684597,3602,15072,0,0,1
1764862858.7345479,3652,15426,0,0,1
1764862858.784887,3702,15780,0,0,1
1764862858.835223,3752,16134,0,0,1
1764862858.884438,3802,16480,0,0,1
1764862858.9347908,3852,16834,0,0,1
1764862858.985161,3902,17188,0,0,1
1764862859.035498,3952,17542,0,0,1
1764862859.0856729,4002,17896,0,0,1
1764862859.136043,4052,18250,0,0,1
1764862859.185239,4102,18596,0,0,1
1764862859.2355049,4152,18950,0,0,1
1764862859.285951,4202,19304,0,0,1
1764862859.336284,4252,19658,0,0,1
1764862859.386639,4302,20012,0,0,1
1764862859.4358258,4352,20358,0,0,1
1764862859.486183,4402,20712,0,0,1
1764862859.536554,4452,21066,0,0,1
1764862859.5868852,4502,21420,0,0,1
1764862859.6372359,4552,21774,0,0,1
1764862859.687432,4602,22127,0,0,1
1764862859.736782,4652,22474,0,0,1
1764862859.7871768,4702,22828,0,0,1
1764862859.837367,4752,23182,0,0,1
1764862859.887725,4802,23535,0,0,1
1764862859.9379342,4852,23889,0,0,1
1764862859.988232,4902,24243,0,0,1
1764862860.037649,4952,24589,0,0,1
1764862860.0878441,5002,24943,0,0,1
1764862860.138238,5052,25297,0,0,1
1764862860.18861,5102,25651,0,0,1
1764862860.2388108,5152,26005,0,0,1
1764862860.289175,5202,26359,0,0,1
1764862860.338333,5252,26705,0,0,1
1764862860.388715,5302,27059,0,0,1
1764862860.4391491,5352,27413,0,0,1
1764862860.489485,5402,27767,0,0,1
1764862860.539674,5452,28121,0,0,1
1764862860.590036,5502,28475,0,0,1
1764862860.639423,5552,28821,0,0,1
1764862860.689596,5602,29175,0,0,1
1764862860.73985,5652,29529,0,0,1
1764862860.7903051,5702,29883,0,0,1
1764862860.84049,5752,30236,0,0,1
1764862860.8908658,5803,30590,0,0,1
1764862860.941223,5853,30944,0,0,1
1764862860.9916239,5903,31298,0,0,1
1764862861.041792,5953,31652,0,0,1
1764862861.0921652,6003,32006,0,0,1
1764862861.142399,6053,32359,0,0,1
1764862861.1917598,6103,32706,0,0,1
1764862861.2421389,6153,-24,0,0,1
1764862861.292321,6203,-102,0,0,1
1764862861.342906,6253,-180,0,0,1
1764862861.392898,6303,-258,0,0,1
1764862861.443276,6353,-336,0,0,1
1764862861.492629,6403,-412,0,0,1
1764862861.5428538,6453,-490,0,0,1
1764862861.593215,6503,-568,0,0,1
1764862861.643594,6553,-646,0,0,1
1764862863.208509,8114,0,0,0,1
1764862863.258673,8164,78,0,0,1
1764862863.309035,8214,157,0,0,1
1764862863.3593972,8264,235,0,0,1
1764862863.409617,8314,314,0,0,1
1764862863.458966,8364,391,0,0,1
1764862863.5093162,8414,469,0,0,1
1764862863.55967,8464,548,0,0,1
1764862863.6098611,8514,626,0,0,1
1764862863.660192,8564,705,0,0,1
1764862863.710565,8614,783,0,0,1
1764862863.759899,8664,860,0,0,1
1764862863.81027,8714,939,0,0,1
1764862863.860447,8764,1017,0,0,1
1764862863.910791,8814,1096,0,0,1
1764862863.9611578,8864,1174,0,0,1
1764862864.011512,8914,1253,0,0,1
1764862864.060682,8964,1330,0,0,1
1764862864.111021,9014,1408,0,0,1
1764862864.161364,9064,1486,0,0,1
