PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1769430646.187506,50,0,0,0,0
1769430646.1890922,100,0,0,0,0
1769430646.1905122,150,0,0,0,0
1769430646.191905,200,0,0,0,0
1769430646.193259,250,0,0,0,0
1769430646.19462,300,0,0,0,0
1769430646.195981,350,0,0,0,0
1769430646.197334,400,0,0,0,0
1769430646.200044,450,0,0,0,0
1769430646.251158,500,0,0,0,0
1769430646.30128,550,0,0,0,0
1769430646.350731,600,0,0,0,0
1769430646.4009259,650,0,0,0,0
1769430646.45064,700,0,0,0,0
1769430646.50195,750,0,0,0,0
1769430646.551806,800,0,0,0,0
1769430646.602774,850,0,0,0,0
1769430646.651139,900,0,0,0,0
1769430646.7013602,950,0,0,0,0
1769430646.752526,1000,0,0,0,0
1769430646.8026838,1050,0,0,0,0
1769430646.8526678,1100,0,0,0,0
1769430646.902519,1150,0,0,0,0
1769430646.952616,1200,0,0,0,0
1769430647.002205,1250,0,0,0,0
1769430647.0535989,1300,0,0,0,0
1769430647.10381,1350,0,0,0,0
1769430647.153756,1400,0,0,0,0
1769430647.203886,1451,0,0,0,0
1769430647.25441,1501,0,0,0,0
1769430647.304661,1551,0,0,0,0
1769430647.3549938,1601,0,0,0,0
1769430647.4048698,1651,0,0,0,0
1769430647.454817,1701,0,0,0,0
1769430647.504621,1751,0,0,0,0
1769430647.5545979,1801,0,0,0,0
1769430647.607778,1851,0,0,0,0
1769430647.656368,1901,0,0,0,0
1769430647.7065651,1951,0,0,0,0
1769430647.756435,2001,0,0,0,0
1769430647.806302,2051,0,0,0,0
1769430647.8562188,2101,0,0,0,0
1769430647.905853,2151,0,0,0,0
1769430647.957152,2201,0,0,0,0
1769430648.0070012,2251,0,0,0,0
1769430648.056865,2301,0,0,0,0
1769430648.107091,2351,0,0,0,0
1769430648.157089,2401,0,0,0,0
1769430648.206649,2451,0,0,0,0
1769430648.257834,2501,0,0,0,0
1769430648.307648,2551,0,0,0,0
1769430648.357582,2601,0,0,0,0
1769430648.4078689,2651,0,0,0,0
1769430648.458133,2701,0,0,0,0
1769430648.50832,2751,0,0,0,0
1769430648.558052,2801,0,0,0,0
1769430648.608927,2851,0,0,0,0
1769430648.658762,2902,0,0,0,0
1769430648.708765,2952,0,0,0,0
1769430648.759583,3002,0,0,0,0
1769430648.8095858,3052,0,0,0,0
1769430648.860841,3102,0,0,0,0
1769430648.910892,3152,0,0,0,0
1769430648.960385,3202,0,0,0,0
1769430649.009856,3252,0,0,0,0
1769430649.06005,3302,0,0,0,0
1769430649.111155,3352,0,0,0,0
1769430649.160896,3402,0,0,0,0
1769430649.210766,3452,0,0,0,0
1769430649.2605,3502,0,0,0,0
1769430649.310304,3552,0,0,0,0
1769430649.361253,3602,0,0,0,0
1769430649.412053,3652,0,0,0,0
1769430649.462534,3702,0,0,0,0
1769430649.51207,3752,0,0,0,0
1769430649.56211,3802,0,0,0,0
1769430649.612121,3852,0,0,0,0
1769430649.661858,3902,0,0,0,0
1769430649.7130492,3952,0,0,0,0
1769430649.762777,4002,0,0,0,0
1769430649.81304,4052,0,0,0,0
1769430649.862877,4102,318,0,0,1
1769430649.9127,4152,668,0,0,1
1769430649.962431,4202,1017,0,0,1
1769430650.01311,4252,1367,0,0,1
1769430650.0640929,4302,1716,0,0,1
1769430650.112894,4352,2058,0,0,1
1769430650.1627688,4402,2408,0,0,1
1769430650.213758,4452,2757,0,0,1
1769430650.264245,4502,3107,0,0,1
1769430650.31428,4552,3456,0,0,1
1769430650.364236,4602,3806,0,0,1
1769430650.413883,4652,4148,0,0,1
1769430650.463825,4702,4498,0,0,1
1769430650.514851,4752,4847,0,0,1
1769430650.5646,4802,5197,0,0,1
1769430650.6156108,4852,5546,0,0,1
1769430650.666135,4902,5896,0,0,1
1769430650.714972,4952,6238,0,0,1
1769430650.764621,5002,6587,0,0,1
