Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.03;0.0;0.0;0.0;23.179487179487182;22.803418803418804;25.0;25.0;0;0
0.142;0.0;0.0;0.0;23.179487179487182;22.803418803418804;25.0;25.0;0;0
0.251;0.0;0.0;0.0;23.179487179487182;22.803418803418804;25.0;25.0;0;0
0.363;0.0;0.0;0.0;23.179487179487182;22.803418803418804;25.0;25.0;0;0
0.472;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.579;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.692;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.795;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
0.908;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.018;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.129;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.234;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.342;0.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
1.452;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
1.561;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
1.674;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
1.784;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
1.896;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
1.999;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
2.101;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
2.201;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
2.301;0.0;0.0;0.0;23.179487179487182;22.752136752136753;25.0;25.0;0;0
2.402;0.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
2.502;0.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
2.603;0.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
2.703;0.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
2.804;0.12875;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
2.906;0.64;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
3.02;1.15;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
3.126;1.65625;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
3.228;2.16625;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
3.329;2.93125;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
3.438;3.43625;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.545;3.945;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.645;4.45375;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.746;4.93875;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.846;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
3.947;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.047;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.15;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.251;5.0;0.0;0.0;23.128205128205128;22.752136752136753;25.0;25.0;0;0
4.356;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.462;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.568;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.679;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.788;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.893;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
4.994;5.0;0.0;0.0;23.128205128205128;22.803418803418804;25.0;25.0;0;0
