Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.011;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.112;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.213;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.313;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.42;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.524;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.625;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.73;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.836;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
0.948;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.053;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.153;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.266;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.394;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.505;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.617;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.718;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.825;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
1.934;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
2.044;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
2.157;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
2.268;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
2.378;0.0;0.0;0.0;31.77777777777778;31.350427350427353;32.0;32.0;0;0
2.479;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
2.584;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
2.685;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
2.787;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
2.898;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.014;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.123;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.236;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.343;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.444;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.552;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.653;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.757;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.857;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
3.958;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
4.059;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
4.159;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
4.26;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
4.361;0.0;0.0;0.0;31.726495726495727;31.350427350427353;32.0;32.0;0;0
4.463;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
4.566;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
4.667;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
4.77;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
4.88;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
4.994;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
5.115;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
5.223;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
5.327;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
5.436;0.0;0.0;0.0;31.77777777777778;31.299145299145298;32.0;32.0;0;0
