Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;33.48717948717949;33.97435897435898;36.0;36.0;0;0
0.504;0.0;0.0;0.0;33.5982905982906;33.97435897435898;36.0;36.0;0;0
1.009;0.0;0.0;0.0;33.5982905982906;33.97435897435898;36.0;36.0;0;0
1.511;0.0;0.0;0.0;33.5982905982906;34.02564102564103;36.0;36.0;0;0
2.016;0.0;0.0;0.0;33.5982905982906;34.02564102564103;36.0;36.0;0;0
2.518;0.0;0.0;0.0;33.64957264957265;34.07692307692308;36.0;36.0;0;0
3.078;0.0;0.0;0.0;33.64957264957265;34.07692307692308;36.0;36.0;0;0
3.607;0.0;0.0;0.0;33.64957264957265;34.12820512820513;36.0;36.0;0;0
4.108;0.0;0.0;0.0;33.700854700854705;34.12820512820513;36.0;36.0;0;0
4.61;0.0;0.0;0.0;33.700854700854705;34.12820512820513;36.0;36.0;0;0
5.116;0.0;0.0;0.0;33.76068376068376;34.18803418803419;36.0;36.0;0;0
5.662;0.0;0.0;0.0;33.76068376068376;34.18803418803419;36.0;36.0;0;0
6.218;0.0;0.0;0.0;33.81196581196581;34.18803418803419;36.0;36.0;0;0
6.72;0.0;0.0;0.0;33.81196581196581;34.18803418803419;36.0;36.0;0;0
7.239;0.0;0.0;0.0;33.81196581196581;34.239316239316246;36.0;36.0;0;0
7.748;0.0;0.0;0.0;33.81196581196581;34.239316239316246;36.0;36.0;0;0
8.251;0.0;0.0;0.0;33.863247863247864;34.239316239316246;36.0;36.0;0;0
8.787;0.0;0.0;0.0;33.863247863247864;34.239316239316246;36.0;36.0;0;0
9.293;0.0;0.0;0.0;33.863247863247864;34.29059829059829;36.0;36.0;0;0
9.795;0.0;0.0;0.0;33.863247863247864;34.29059829059829;36.0;36.0;0;0
10.298;0.0;0.0;0.0;33.914529914529915;34.29059829059829;36.0;36.0;0;0
10.803;0.0;0.0;0.0;33.914529914529915;34.29059829059829;36.0;36.0;0;0
11.304;0.0;0.0;0.0;33.97435897435898;34.34188034188034;36.0;36.0;0;0
11.809;0.0;0.0;0.0;33.97435897435898;34.34188034188034;36.0;36.0;0;0
12.309;0.0;0.0;0.0;33.97435897435898;34.34188034188034;36.0;36.0;0;0
12.812;0.0;0.0;0.0;33.97435897435898;34.34188034188034;36.0;36.0;0;0
13.314;0.0;0.0;0.0;34.07692307692308;34.401709401709404;36.0;36.0;0;0
13.815;0.0;0.0;0.0;34.07692307692308;34.401709401709404;36.0;36.0;0;0
14.334;0.0;0.0;0.0;34.07692307692308;34.401709401709404;36.0;36.0;0;0
14.836;0.0;0.0;0.0;34.07692307692308;34.401709401709404;36.0;36.0;0;0
15.344;0.0;0.0;0.0;34.12820512820513;34.452991452991455;36.0;36.0;0;0
15.845;0.0;0.0;0.0;34.12820512820513;34.452991452991455;36.0;36.0;0;0
16.352;0.0;0.0;0.0;34.12820512820513;34.452991452991455;36.0;36.0;0;0
16.858;0.0;0.0;0.0;34.12820512820513;34.452991452991455;36.0;36.0;0;0
17.363;0.0;0.0;0.0;34.18803418803419;34.504273504273506;36.0;36.0;0;0
17.868;0.0;0.0;0.0;34.18803418803419;34.504273504273506;36.0;36.0;0;0
18.371;0.0;0.0;0.0;34.239316239316246;34.504273504273506;36.0;36.0;0;0
18.883;0.0;0.0;0.0;34.239316239316246;34.504273504273506;36.0;36.0;0;0
19.416;0.0;0.0;0.0;34.29059829059829;34.55555555555556;36.0;36.0;0;0
19.928;0.0;0.0;0.0;34.29059829059829;34.55555555555556;36.0;36.0;0;0
20.441;0.0;0.0;0.0;34.29059829059829;34.55555555555556;36.0;36.0;0;0
20.95;0.0;0.0;0.0;34.29059829059829;34.55555555555556;36.0;36.0;0;0
21.462;0.0;0.0;0.0;34.34188034188034;34.61538461538462;36.0;36.0;0;0
21.999;0.0;0.0;0.0;34.34188034188034;34.61538461538462;36.0;36.0;0;0
22.501;0.0;0.0;0.0;34.34188034188034;34.61538461538462;36.0;36.0;0;0
