Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.001;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
0.504;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
1.009;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
1.513;0.0;0.0;0.0;34.93162393162393;34.93162393162393;36.0;36.0;0;0
2.026;0.0;0.0;0.0;34.93162393162393;34.93162393162393;36.0;36.0;0;0
2.532;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
3.037;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
3.543;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
4.072;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
4.578;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
5.089;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
5.595;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
6.102;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
6.603;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
7.108;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
7.61;0.0;0.0;0.0;34.93162393162393;34.93162393162393;36.0;36.0;0;0
8.113;0.0;0.0;0.0;34.93162393162393;34.93162393162393;36.0;36.0;0;0
8.619;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
9.128;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
9.635;0.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
10.139;0.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
10.641;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
11.146;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
11.651;0.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
12.154;30.0;0.0;0.0;34.98290598290598;34.93162393162393;36.0;36.0;0;0
12.656;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
13.161;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
13.666;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
14.171;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
14.676;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
15.18;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
15.685;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
16.19;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
16.692;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
17.197;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
17.702;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
18.207;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
18.708;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
19.235;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
19.741;30.0;0.0;0.0;35.042735042735046;34.98290598290598;36.0;36.0;0;0
20.242;30.0;0.0;0.0;35.042735042735046;34.98290598290598;36.0;36.0;0;0
20.752;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
21.258;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
21.764;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
22.269;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
22.77;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
23.275;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
23.779;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
24.283;30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
24.784;30.0;0.0;0.0;35.042735042735046;34.98290598290598;36.0;36.0;0;0
25.289;30.0;0.0;0.0;35.042735042735046;34.98290598290598;36.0;36.0;0;0
25.794;-30.0;0.0;0.0;35.042735042735046;34.98290598290598;36.0;36.0;0;0
26.298;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
26.803;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
27.308;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
27.814;-30.0;0.0;0.0;34.98290598290598;34.98290598290598;36.0;36.0;0;0
28.322;-30.0;0.0;0.0;34.98290598290598;35.042735042735046;36.0;36.0;0;0
28.827;-30.0;0.0;0.0;34.98290598290598;35.042735042735046;36.0;36.0;0;0
29.333;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
29.838;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
30.344;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
30.849;-30.0;0.0;0.0;34.98290598290598;35.042735042735046;36.0;36.0;0;0
31.351;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
31.853;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
32.359;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
32.863;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
33.368;-30.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
33.869;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
34.374;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
34.876;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
35.379;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
35.881;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
36.384;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
36.889;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
37.394;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
37.899;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
38.404;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
38.906;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
39.414;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
39.924;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
40.433;0.0;0.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
40.936;0.0;0.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
41.442;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
41.947;0.0;0.0;0.0;35.042735042735046;35.042735042735046;36.0;36.0;0;0
42.449;0.0;0.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
42.95;0.0;0.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
43.451;0.0;0.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
43.956;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
44.46;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
44.962;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
45.467;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
45.972;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
46.476;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
46.982;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
47.487;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
47.99;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
48.494;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
48.999;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
49.504;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
50.009;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
50.524;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
51.027;0.0;30.0;0.0;35.042735042735046;35.0940170940171;36.0;36.0;0;0
51.534;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
52.041;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
52.547;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
53.051;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
53.554;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
54.055;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
54.56;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
55.065;0.0;30.0;0.0;35.0940170940171;35.0940170940171;36.0;36.0;0;0
55.569;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
56.074;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
56.575;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
57.08;0.0;30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
57.581;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
58.087;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
58.592;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
59.093;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
59.594;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
60.099;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
60.604;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
61.107;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
61.608;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
62.115;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
62.624;0.0;-30.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
63.131;0.0;-30.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
63.638;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
64.142;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
64.649;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
65.154;0.0;-30.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
65.657;0.0;0.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
66.16;0.0;0.0;0.0;35.0940170940171;35.14529914529915;36.0;36.0;0;0
66.665;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
67.167;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
67.671;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
68.173;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
68.678;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
69.18;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
69.683;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
70.188;0.0;0.0;0.0;35.14529914529915;35.14529914529915;36.0;36.0;0;0
70.693;0.0;0.0;0.0;35.14529914529915;35.1965811965812;36.0;36.0;0;0
71.198;0.0;0.0;0.0;35.14529914529915;35.1965811965812;36.0;36.0;0;0
71.703;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
72.203;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
72.708;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
73.215;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
73.722;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
74.229;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
74.739;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
75.243;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
75.745;0.0;0.0;29.957910373854915;35.14529914529915;35.14529914529915;36.0;36.0;0;0
76.25;0.0;0.0;29.957910373854915;35.14529914529915;35.14529914529915;36.0;36.0;0;0
76.752;0.0;0.0;29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
77.26;0.0;0.0;-29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
77.765;0.0;0.0;-29.957910373854915;35.1965811965812;35.1965811965812;36.0;36.0;0;0
78.27;0.0;0.0;-29.957910373854915;35.1965811965812;35.1965811965812;36.0;36.0;0;0
78.772;0.0;0.0;-29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
79.276;0.0;0.0;-29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
79.78;0.0;0.0;-29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
80.284;0.0;0.0;-29.957910373854915;35.14529914529915;35.1965811965812;36.0;36.0;0;0
80.784;0.0;0.0;-29.957910373854915;35.1965811965812;35.1965811965812;36.0;36.0;0;0
81.289;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
81.793;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
82.296;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
82.801;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
83.306;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
83.811;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
84.32;0.0;0.0;0.0;35.1965811965812;35.1965811965812;36.0;36.0;0;0
