Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.001;0.0;0.0;0.0;30.25;31.12;35.0;40.0;0;0
0.502;0.0;0.0;0.0;30.25;31.18;35.0;40.0;0;0
1.006;0.0;0.0;0.0;30.25;31.18;35.0;40.0;0;0
1.511;0.0;0.0;0.0;30.31;31.25;35.0;40.0;0;0
2.016;0.0;0.0;0.0;30.31;31.25;35.0;40.0;0;0
2.519;0.0;0.0;0.0;30.37;31.31;35.0;40.0;0;0
3.023;0.0;0.0;0.0;30.37;31.31;35.0;40.0;0;0
3.528;0.0;0.0;0.0;30.43;31.37;35.0;40.0;0;0
4.033;0.0;0.0;0.0;30.43;31.37;35.0;40.0;0;0
4.533;0.0;0.0;0.0;30.43;31.37;35.0;40.0;0;0
5.038;0.0;0.0;0.0;30.43;31.37;35.0;40.0;0;0
5.544;0.0;0.0;0.0;30.5;31.43;35.0;40.0;0;0
6.05;0.0;0.0;0.0;30.5;31.43;35.0;40.0;0;0
6.554;0.0;0.0;0.0;30.56;31.5;35.0;40.0;0;0
7.069;0.0;0.0;0.0;30.56;31.5;35.0;40.0;0;0
7.577;0.0;0.0;0.0;30.56;31.56;35.0;40.0;0;0
8.101;0.0;0.0;0.0;30.56;31.56;35.0;40.0;0;0
8.606;0.0;0.0;0.0;30.62;31.62;35.0;40.0;0;0
9.107;0.0;0.0;0.0;30.62;31.62;35.0;40.0;0;0
9.612;0.0;0.0;0.0;30.75;31.62;35.0;40.0;0;0
10.115;0.0;0.0;0.0;30.75;31.62;35.0;40.0;0;0
10.623;0.0;0.0;0.0;30.75;31.68;35.0;40.0;0;0
11.127;0.0;0.0;0.0;30.75;31.68;35.0;40.0;0;0
11.628;0.0;0.0;0.0;30.81;31.75;35.0;40.0;0;0
12.13;0.0;0.0;0.0;30.81;31.75;35.0;40.0;0;0
12.634;0.0;0.0;0.0;30.81;31.81;35.0;40.0;0;0
13.139;0.0;0.0;0.0;30.81;31.81;35.0;40.0;0;0
13.644;0.0;0.0;0.0;30.87;31.87;35.0;40.0;0;0
14.147;0.0;0.0;0.0;30.87;31.87;35.0;40.0;0;0
14.651;0.0;0.0;0.0;30.93;31.93;35.0;40.0;0;0
15.167;0.0;0.0;0.0;30.93;31.93;35.0;40.0;0;0
15.673;0.0;0.0;0.0;31.0;31.93;35.0;40.0;0;0
16.18;0.0;0.0;0.0;31.0;31.93;35.0;40.0;0;0
16.685;0.0;0.0;0.0;31.06;32.0;35.0;40.0;0;0
17.187;0.0;0.0;0.0;31.06;32.0;35.0;40.0;0;0
