Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.003;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.104;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.207;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.308;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.409;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.51;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.623;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.729;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.836;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
0.938;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
1.038;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
1.15;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
1.26;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.371;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.472;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.583;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.691;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.802;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.908;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
2.022;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
2.136;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
2.248;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.351;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.453;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.56;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.661;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.765;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.866;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.967;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
3.067;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
3.168;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.268;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.377;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.481;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.582;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.682;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.79;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
3.89;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
4.006;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
4.107;0.0;0.0;0.0;31.99145299145299;31.94017094017094;32.0;32.0;1;1
4.207;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
