# SURF Test Unit - bill of materials
#
# Parts of the SURF Test Unit, with the evidence for each row in `source`. For the rig parts, manufacturer,
# part number, supplier, unit price and quote date are not documented in this repository.
#
# ROW TYPES: rows with source "not documented" are parts that the repository does not describe. The last
# two rows are calibration instruments, not rig parts.
# NOT INCLUDED: the hardwired emergency stop recommended in docs/safety.md (not fitted).
#
# CITATIONS: path:line refers to this tree; 270cdf5:path:line refers to a file in git history
# (git show 270cdf5:path). Plain ASCII on purpose, so the file opens cleanly in any spreadsheet.
item,qty,description,manufacturer,part_number,supplier,unit_price_eur,date_quoted,source,notes
1,1,"Microcontroller board, axis controller: Arduino Nano running firmware/axis/SURF_nanoAxis_v5",,,,,,"firmware/axis/SURF_nanoAxis_v5/SURF_nanoAxis_v5.ino:4; .github/workflows/arduino-build.yml:26","Not interchangeable with item 2 (hardware/pinout.md)."
2,1,"Microcontroller board, heating controller: Arduino Nano running firmware/heating/SURF_nanoHeating_v4",,,,,,"firmware/README.md:3; sketch name SURF_nanoHeating_v4; .github/workflows/arduino-build.yml:18,26","Not interchangeable with item 1 (hardware/pinout.md)."
3,3,"Closed-loop stepper driver, model designation CL57T; one each for H, V, R",,,,,,"firmware/axis/SURF_nanoAxis_v5/SURF_nanoAxis_v5.ino:4 (model); :29-35 (three PUL/DIR/ENA pin sets)","The designation alone does not identify manufacturer and hardware revision. Microstep and current settings are build data, see hardware/assembly.md."
4,3,"Stepper motor, NEMA 23 frame, 200 full steps per revolution; one per axis",,,,,,"270cdf5:README.md:1 (NEMA 23); 270cdf5:firmware/arduino/src/oldDrives/firsttry_mitebox.ino:62,68 (200 steps/rev)","NEMA 23 and 200 steps/rev come only from a superseded README title and a superseded sketch."
5,2,"Endstop switch, normally closed (NC), wired between input pin and GND; homing reference for H and V",,,,,,"firmware/axis/SURF_nanoAxis_v5/SURF_nanoAxis_v5.ino:30,33,126-128,246,249; NC wiring: 270cdf5:firmware/arduino/src/oldDrives/firsttry_mitebox.ino:23-24","Do NOT fit normally open switches: the firmware treats HIGH as triggered (hardware/pinout.md pitfall 1). No switch exists for R or for the negative ends of H and V."
6,2,"Screw with 4 mm lead, linear drive for H and V (200 steps/rev x 16 microsteps / 4 mm = 800 steps/mm)",,,,,,"firmware/axis/SURF_nanoAxis_v5/SURF_nanoAxis_v5.ino:39 (800 steps/mm); 270cdf5:firmware/arduino/src/oldDrives/firsttry_mitebox.ino:62-65 (decomposition)","The 4 mm lead is recorded only in a superseded sketch."
7,2,"Linear slide/guide, horizontal (H) and vertical (V)",,,,,,"firmware/axis/SURF_nanoAxis_v5/SURF_nanoAxis_v5.ino:22-26; CITATION.cff:18","Minimum free travel implied by the firmware is derived in hardware/assembly.md."
8,1,"Bevel gearbox, nominal ratio 1:2 (two motor revolutions per output revolution), rotation stage R",,,,,,"270cdf5:firmware/arduino/src/oldDrives/firsttry_mitebox.ino:70 (GEAR_RATIO_R = 2.0); 270cdf5:docs/PoPargumentation&blueprints.txt:44 (bevel gear 1:2); firmware/tools/rotation_calibration/rotation_calibration.ino:9","The calibrated 16.156 / 16.1599 steps/deg is about 9% below the nominal 17.78 steps/deg implied by 1:2 x 3200 steps/rev; the actual ratio is not recorded (hardware/assembly.md)."
9,2,"Temperature sensor DS18B20, one per heating pad, one per OneWire bus",,,,,,"hardware/calibration/heating-pad-calibration.csv:1; firmware/heating/SURF_nanoHeating_v4/SURF_nanoHeating_v4.ino:8-9,19-20,45-48",
10,2,"Pull-up resistor, one per OneWire bus (required; value not recorded)",,,,,,"firmware/heating/SURF_nanoHeating_v4/SURF_nanoHeating_v4.ino:19-20; OneWire 2.3.8 OneWire.cpp:164 (pin set to INPUT, no internal pull-up)","May be on a sensor adapter rather than a discrete part."
